finding_id,customer_id,control_id,severity,assessment_status,finding_status,actual,expected,evidence_fields
F-0001,CUST100005,SCREENING_001,CRITICAL,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0002,CUST100012,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0003,CUST100016,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0004,CUST100027,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0005,CUST100031,RISK_001,HIGH,FAIL,REVIEW,High-risk customer has an OPENED wallet without an approved exception,High-risk customers must not be activated for standard wallet use unless an approved exception is recorded.,"customer_id, risk_level, risk_exception_approved, risk_exception_reference, risk_exception_reviewer, wallet_status"
F-0006,CUST100034,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0007,CUST100041,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0008,CUST100043,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0009,CUST100044,SCREENING_001,CRITICAL,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0010,CUST100044,RISK_001,HIGH,FAIL,REVIEW,High-risk customer has an OPENED wallet without an approved exception,High-risk customers must not be activated for standard wallet use unless an approved exception is recorded.,"customer_id, risk_level, risk_exception_approved, risk_exception_reference, risk_exception_reviewer, wallet_status"
F-0011,CUST100045,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0012,CUST100048,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0013,CUST100051,ARABIC_NAME_001,MEDIUM,FAIL,REVIEW,Arabic customer name is missing or contains no Arabic-script characters,Customer record must contain an Arabic-script customer name.,"customer_id, name_ar"
F-0014,CUST100057,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0015,CUST100061,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0016,CUST100068,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
F-0017,CUST100073,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0018,CUST100074,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0019,CUST100075,SCREENING_001,HIGH,FAIL,REVIEW,Screening result is not CLEAR while wallet is OPENED,Customer must have a CLEAR screening result and mandatory screening evidence before wallet activation.,"customer_id, screening_status, screening_evidence_present, screening_reference, wallet_status"
F-0020,CUST100085,DORMANT_001,HIGH,FAIL,REVIEW,Dormant account has an OPENED wallet without completed dormant handling,Dormant accounts must have documented required handling completed before wallet activation.,"customer_id, account_status, last_transaction_date, dormant_handling_status, wallet_status"
